payment_id,customer_id,amount,payment_method,bank,failure_reason,previous_success_count,previous_failure_count,retry_attempted,retry_delay_minutes,recovered,recovery_time_minutes,treatment_group
P00052,C00242,134.68,netbanking,Axis,bank_declined,2,5,0,0,0,,0
P00053,C02042,2096.44,upi,Other,insufficient_funds,2,1,1,120,0,,1
P00054,C02825,646.88,upi,SBI,insufficient_funds,3,5,0,0,1,19.0,0
P00055,C02613,167.95,netbanking,HDFC,bank_declined,3,2,0,0,1,64.0,0
P00056,C02946,423.64,upi,ICICI,insufficient_funds,4,0,1,120,1,58.0,1
P00057,C01364,285.25,card,ICICI,limit_exceeded,2,6,1,10,1,50.0,1
P00058,C02140,365.43,netbanking,Other,network_error,2,4,1,30,1,212.0,1
P00059,C01391,395.7,card,Axis,insufficient_funds,3,1,0,0,0,,0
P00060,C01479,571.24,netbanking,SBI,bank_declined,4,1,1,60,1,30.0,1
P00061,C02557,674.88,netbanking,Other,bank_declined,1,1,0,0,1,213.0,0
P00062,C00776,304.8,netbanking,ICICI,network_error,3,3,0,0,1,183.0,0
P00063,C00035,294.13,card,Other,limit_exceeded,7,4,1,30,1,55.0,1
P00064,C02254,653.96,wallet,HDFC,bank_declined,1,3,0,0,0,,0
P00065,C01956,312.45,upi,HDFC,bank_declined,3,1,1,120,0,,1
P00066,C01586,310.79,netbanking,HDFC,bank_declined,3,2,1,10,0,,1
P00067,C01022,530.57,upi,SBI,bank_declined,2,4,0,0,0,,0
P00068,C02614,503.4,card,HDFC,insufficient_funds,5,2,0,0,1,124.0,0
P00069,C01130,361.06,card,SBI,network_error,4,0,1,30,1,233.0,1
P00070,C01501,1029.28,card,Other,limit_exceeded,8,2,0,0,0,,0
P00071,C00703,696.25,upi,SBI,timeout,2,0,1,120,1,39.0,1
P00072,C02450,2023.66,card,ICICI,limit_exceeded,4,1,0,0,0,,0
P00073,C02778,414.11,upi,Axis,insufficient_funds,3,1,1,10,1,186.0,1
P00074,C01580,807.31,upi,HDFC,network_error,3,4,1,120,0,,1
P00075,C00162,1367.03,upi,Axis,limit_exceeded,3,1,1,120,0,,1
P00076,C00202,263.71,card,Other,insufficient_funds,6,2,0,0,0,,0
P00077,C01982,383.38,upi,SBI,limit_exceeded,3,0,1,120,1,180.0,1
P00078,C00996,1162.56,netbanking,SBI,insufficient_funds,4,1,1,60,1,48.0,1
P00079,C02318,789.44,upi,Axis,limit_exceeded,4,1,1,30,1,27.0,1
P00080,C00816,484.93,card,Other,insufficient_funds,6,1,0,0,0,,0
P00081,C00456,187.33,upi,Axis,bank_declined,3,5,1,10,1,133.0,1
P00082,C01276,198.63,upi,ICICI,insufficient_funds,3,0,1,60,0,,1
P00083,C01017,358.8,card,HDFC,insufficient_funds,3,5,0,0,0,,0
P00084,C02344,280.91,card,HDFC,limit_exceeded,9,2,1,60,1,152.0,1
P00085,C02768,285.54,upi,SBI,insufficient_funds,2,2,1,30,0,,1
P00086,C00338,136.59,upi,Other,timeout,5,1,1,30,1,112.0,1
P00087,C00879,190.65,card,Other,limit_exceeded,2,2,0,0,0,,0
P00088,C01077,265.93,upi,SBI,limit_exceeded,5,0,1,30,1,151.0,1
P00089,C00792,534.93,card,Other,limit_exceeded,6,2,1,60,0,,1
P00090,C02265,387.29,card,Other,limit_exceeded,6,1,1,60,0,,1
P00091,C00764,513.33,netbanking,HDFC,insufficient_funds,2,1,1,10,0,,1
P00092,C02236,497.95,upi,ICICI,limit_exceeded,4,1,1,60,1,196.0,1
P00093,C00380,149.84,netbanking,ICICI,insufficient_funds,5,2,0,0,0,,0
P00094,C00493,1037.54,wallet,SBI,insufficient_funds,5,2,0,0,1,15.0,0
P00095,C01181,823.14,wallet,ICICI,insufficient_funds,2,1,1,30,0,,1
P00096,C02063,507.71,card,ICICI,timeout,1,1,0,0,1,213.0,0
P00097,C00065,340.15,upi,HDFC,insufficient_funds,5,3,0,0,1,42.0,0
P00098,C02569,1276.78,upi,ICICI,bank_declined,2,2,1,120,0,,1
P00099,C01368,242.0,netbanking,ICICI,network_error,3,0,1,10,0,,1
P00100,C01153,977.87,upi,ICICI,bank_declined,3,2,1,120,1,188.0,1
P00101,C02028,268.26,card,Axis,insufficient_funds,2,5,1,30,0,,1
P00102,C02696,1238.24,upi,ICICI,network_error,3,6,0,0,0,,0
P00103,C01496,682.13,card,Axis,bank_declined,6,1,0,0,1,55.0,0
P00104,C01163,922.04,netbanking,HDFC,network_error,8,1,0,0,1,184.0,0
P00105,C01523,571.61,upi,ICICI,network_error,4,3,1,120,0,,1
P00106,C02641,673.76,upi,Other,limit_exceeded,5,2,0,0,1,80.0,0
P00107,C00392,503.64,card,Axis,limit_exceeded,6,0,1,30,1,91.0,1
P00108,C01699,241.88,upi,ICICI,insufficient_funds,1,0,0,0,0,,0
P00109,C00419,1059.87,upi,Other,insufficient_funds,7,3,1,30,0,,1
P00110,C02337,409.05,upi,SBI,limit_exceeded,5,3,1,120,1,58.0,1
P00111,C00379,527.57,netbanking,Axis,network_error,3,0,1,60,0,,1
P00112,C01797,162.29,netbanking,HDFC,timeout,3,0,0,0,0,,0
P00113,C02279,435.2,upi,SBI,network_error,6,2,1,120,1,44.0,1
P00114,C02089,650.66,netbanking,Other,timeout,5,4,1,60,1,30.0,1
P00115,C02183,1649.28,upi,Axis,insufficient_funds,9,0,1,120,1,228.0,1
P00116,C00201,470.87,upi,Axis,timeout,3,3,0,0,1,25.0,0
P00117,C01864,387.7,upi,ICICI,limit_exceeded,7,2,1,30,0,,1
P00118,C00780,310.66,upi,SBI,bank_declined,3,0,0,0,1,228.0,0
P00119,C02978,316.09,upi,ICICI,bank_declined,6,1,0,0,1,27.0,0
P00120,C00503,1719.86,card,HDFC,network_error,7,2,1,120,1,77.0,1
P00121,C02455,233.85,upi,SBI,limit_exceeded,2,3,1,120,1,43.0,1
P00122,C01752,368.68,card,Axis,limit_exceeded,3,0,0,0,0,,0
P00123,C00805,1334.67,card,Other,network_error,7,1,1,30,1,76.0,1
P00124,C02147,1104.19,card,HDFC,network_error,2,5,0,0,0,,0
P00125,C02732,2493.04,upi,ICICI,limit_exceeded,3,2,0,0,0,,0
P00126,C01896,1044.21,card,ICICI,insufficient_funds,3,1,1,120,0,,1
P00127,C02774,584.93,wallet,HDFC,timeout,6,2,0,0,1,165.0,0
P00128,C01571,760.39,netbanking,SBI,bank_declined,2,3,1,60,0,,1
P00129,C00961,242.7,upi,HDFC,network_error,2,1,0,0,1,178.0,0
P00130,C02661,459.33,upi,SBI,limit_exceeded,4,5,0,0,0,,0
P00131,C01486,250.69,card,HDFC,network_error,2,3,1,120,0,,1
P00132,C02691,1340.75,netbanking,HDFC,insufficient_funds,4,3,0,0,0,,0
P00133,C01029,176.26,card,Axis,limit_exceeded,3,3,1,60,1,67.0,1
P00134,C00503,414.85,card,SBI,network_error,2,0,1,60,1,154.0,1
P00135,C02815,236.3,netbanking,HDFC,insufficient_funds,3,5,0,0,0,,0
P00136,C00398,998.3,card,ICICI,insufficient_funds,2,1,1,60,1,109.0,1
P00137,C00871,555.0,upi,ICICI,bank_declined,6,5,1,60,0,,1
P00138,C02843,482.59,netbanking,SBI,insufficient_funds,2,2,0,0,0,,0
P00139,C00393,215.51,netbanking,HDFC,network_error,2,3,0,0,0,,0
P00140,C00207,1337.12,card,SBI,network_error,5,2,1,60,0,,1
P00141,C01039,257.17,netbanking,HDFC,timeout,6,3,0,0,1,232.0,0
P00142,C01882,371.11,upi,Axis,network_error,6,1,0,0,1,160.0,0
P00143,C02940,491.28,upi,Other,bank_declined,2,3,1,30,0,,1
P00144,C01485,717.67,upi,ICICI,insufficient_funds,4,2,0,0,1,14.0,0
P00145,C00864,402.72,card,SBI,insufficient_funds,3,3,1,60,0,,1
P00146,C02791,1347.26,upi,ICICI,limit_exceeded,3,4,1,10,0,,1
P00147,C00564,512.27,upi,HDFC,insufficient_funds,4,3,1,60,0,,1
P00148,C01021,1581.84,netbanking,ICICI,bank_declined,6,1,0,0,0,,0
P00149,C00096,258.8,upi,HDFC,timeout,6,3,0,0,1,205.0,0
P00150,C01924,713.11,card,SBI,limit_exceeded,4,0,0,0,1,108.0,0
P00151,C01758,293.75,upi,Other,insufficient_funds,5,0,1,10,0,,1
P00152,C02533,441.74,upi,Axis,insufficient_funds,4,0,0,0,1,99.0,0
P00153,C02279,193.91,upi,Axis,insufficient_funds,4,3,0,0,0,,0
P00154,C02797,1289.96,card,ICICI,insufficient_funds,3,0,0,0,1,9.0,0
P00155,C01679,1289.47,card,SBI,bank_declined,3,2,1,30,1,63.0,1
P00156,C00541,1162.26,card,SBI,network_error,4,1,0,0,1,193.0,0
P00157,C01060,966.01,netbanking,Axis,timeout,5,3,1,10,0,,1
P00158,C02573,3368.04,netbanking,HDFC,bank_declined,3,3,1,10,1,151.0,1
P00159,C01184,571.39,card,Axis,network_error,4,5,0,0,0,,0
P00160,C01723,1604.23,upi,ICICI,insufficient_funds,4,5,0,0,0,,0
P00161,C01820,489.36,upi,Axis,limit_exceeded,3,2,1,120,1,16.0,1
P00162,C02626,755.36,upi,HDFC,limit_exceeded,3,2,0,0,0,,0
P00163,C02730,876.93,upi,ICICI,network_error,4,4,0,0,0,,0
P00164,C02605,138.51,netbanking,HDFC,insufficient_funds,4,0,1,10,1,229.0,1
P00165,C01598,455.37,upi,Other,limit_exceeded,1,3,1,10,1,135.0,1
P00166,C02694,421.88,wallet,ICICI,timeout,4,3,1,120,0,,1
P00167,C00796,484.2,upi,HDFC,insufficient_funds,4,2,1,60,1,28.0,1
P00168,C01052,298.12,card,Axis,bank_declined,4,0,0,0,1,232.0,0
P00169,C01644,553.19,wallet,Other,insufficient_funds,2,7,1,120,0,,1
P00170,C01364,632.59,card,HDFC,insufficient_funds,2,1,0,0,0,,0
P00171,C01982,243.9,netbanking,Axis,insufficient_funds,7,3,0,0,1,188.0,0
P00172,C01355,505.87,upi,Other,network_error,5,3,0,0,0,,0
P00173,C01664,414.13,netbanking,SBI,bank_declined,2,1,0,0,1,28.0,0
P00174,C01530,1145.78,upi,SBI,bank_declined,2,4,0,0,1,16.0,0
P00175,C02039,738.83,card,Other,insufficient_funds,3,0,1,60,0,,1
P00176,C01497,287.58,upi,HDFC,insufficient_funds,7,5,0,0,0,,0
P00177,C02238,977.01,upi,HDFC,timeout,0,0,0,0,0,,0
P00178,C01409,475.34,upi,ICICI,network_error,0,1,1,120,1,142.0,1
P00179,C01401,515.02,wallet,HDFC,bank_declined,5,3,0,0,0,,0
P00180,C01307,258.11,upi,HDFC,insufficient_funds,3,3,1,60,0,,1
P00181,C02681,567.68,card,SBI,timeout,5,1,0,0,0,,0
P00182,C02676,954.6,card,SBI,limit_exceeded,5,2,0,0,0,,0
P00183,C00973,416.37,netbanking,HDFC,network_error,3,2,0,0,1,90.0,0
P00184,C01769,1489.67,netbanking,Axis,insufficient_funds,1,5,1,30,1,31.0,1
P00185,C01283,927.18,upi,SBI,network_error,4,1,1,30,0,,1
P00186,C00710,274.76,upi,HDFC,insufficient_funds,3,0,1,120,0,,1
P00187,C01480,591.7,netbanking,SBI,insufficient_funds,6,0,1,10,0,,1
P00188,C01435,187.98,card,HDFC,bank_declined,0,3,0,0,0,,0
P00189,C00649,250.54,upi,Other,insufficient_funds,2,0,1,30,0,,1
P00190,C00318,145.74,upi,SBI,limit_exceeded,6,5,1,10,1,236.0,1
P00191,C01258,160.09,card,HDFC,timeout,6,3,0,0,0,,0
P00192,C00684,400.45,upi,SBI,bank_declined,7,3,1,120,0,,1
P00193,C00664,431.43,card,Axis,limit_exceeded,8,1,1,10,0,,1
P00194,C01999,577.69,card,Other,bank_declined,0,3,1,60,1,31.0,1
P00195,C01632,263.08,upi,HDFC,network_error,5,4,0,0,1,69.0,0
P00196,C01496,883.26,upi,Other,network_error,3,1,1,120,1,166.0,1
P00197,C01137,424.28,card,HDFC,network_error,4,1,1,60,0,,1
P00198,C01854,612.26,card,Other,insufficient_funds,5,2,1,120,1,149.0,1
P00199,C01521,51.66,card,Other,limit_exceeded,5,0,0,0,0,,0
P00200,C02490,493.79,card,ICICI,bank_declined,5,3,0,0,0,,0
P00201,C00564,854.92,upi,HDFC,network_error,3,0,0,0,0,,0
P00202,C01292,100.14,card,SBI,timeout,3,3,1,120,0,,1
P00203,C01637,504.25,card,SBI,limit_exceeded,5,3,1,10,1,10.0,1
P00204,C03000,283.62,netbanking,SBI,bank_declined,3,1,0,0,0,,0
P00205,C00699,1448.73,card,Other,timeout,3,1,0,0,1,171.0,0
P00206,C02161,200.13,wallet,Axis,insufficient_funds,3,0,1,120,0,,1
P00207,C00002,2236.77,upi,SBI,timeout,4,0,1,60,1,183.0,1
P00208,C00642,1217.54,card,Other,timeout,2,0,1,60,0,,1
P00209,C02268,533.53,upi,SBI,bank_declined,5,1,0,0,1,91.0,0
P00210,C01590,180.39,wallet,ICICI,bank_declined,1,0,1,60,1,200.0,1
P00211,C00855,357.39,upi,Other,bank_declined,3,2,1,30,1,225.0,1
P00212,C01760,796.59,upi,HDFC,insufficient_funds,9,1,1,30,0,,1
P00213,C02433,532.3,upi,Other,network_error,4,2,0,0,0,,0
P00214,C01662,228.39,upi,ICICI,limit_exceeded,2,1,1,30,0,,1
P00215,C01154,1069.84,card,HDFC,network_error,1,5,1,60,1,212.0,1
P00216,C01077,460.71,card,SBI,network_error,4,3,0,0,0,,0
P00217,C01708,600.58,upi,Other,limit_exceeded,4,1,1,60,0,,1
P00218,C02778,988.66,netbanking,ICICI,network_error,0,4,0,0,0,,0
P00219,C01696,913.76,card,HDFC,bank_declined,4,3,0,0,0,,0
P00220,C01734,1049.44,upi,Axis,timeout,6,2,0,0,0,,0
P00221,C01440,803.55,wallet,Other,network_error,2,0,1,10,0,,1
P00222,C02295,308.35,card,Other,limit_exceeded,5,2,0,0,1,158.0,0
P00223,C00836,478.37,upi,SBI,limit_exceeded,6,1,0,0,0,,0
P00224,C00203,1267.37,upi,Axis,limit_exceeded,1,0,0,0,0,,0
P00225,C00123,191.67,card,SBI,insufficient_funds,2,3,1,10,0,,1
P00226,C00401,223.72,upi,Axis,bank_declined,6,1,0,0,0,,0
P00227,C00767,719.72,card,HDFC,network_error,7,3,1,10,1,216.0,1
P00228,C00294,462.59,card,HDFC,bank_declined,4,4,1,30,1,9.0,1
P00229,C02328,152.51,netbanking,Other,network_error,8,1,1,30,1,62.0,1
P00230,C02932,803.74,netbanking,Other,timeout,1,3,1,30,0,,1
P00231,C00198,676.58,netbanking,HDFC,network_error,9,2,0,0,0,,0
P00232,C01931,3115.2,wallet,Axis,bank_declined,1,2,0,0,1,192.0,0
P00233,C02800,564.33,netbanking,SBI,network_error,7,1,0,0,1,231.0,0
P00234,C02192,2173.35,card,HDFC,timeout,4,0,1,120,1,85.0,1
P00235,C00609,980.96,card,HDFC,network_error,6,3,1,120,1,139.0,1
P00236,C01148,131.98,card,ICICI,timeout,4,4,0,0,1,128.0,0
P00237,C00187,503.41,upi,Other,limit_exceeded,1,1,0,0,0,,0
P00238,C02512,471.08,card,Axis,insufficient_funds,5,1,0,0,0,,0
P00239,C01795,462.97,upi,SBI,limit_exceeded,5,1,0,0,1,38.0,0
P00240,C00660,269.08,netbanking,ICICI,bank_declined,3,2,1,30,1,154.0,1
P00241,C02812,863.79,card,ICICI,network_error,5,1,0,0,1,238.0,0
P00242,C01956,387.25,upi,HDFC,limit_exceeded,2,1,1,60,1,105.0,1
P00243,C02451,1122.27,card,Other,network_error,5,2,1,120,1,209.0,1
P00244,C01370,1012.58,upi,HDFC,insufficient_funds,3,2,1,120,0,,1
P00245,C01987,416.9,card,ICICI,bank_declined,6,1,1,30,1,101.0,1
P00246,C01535,322.27,wallet,ICICI,limit_exceeded,2,2,0,0,0,,0
P00247,C00147,333.33,wallet,SBI,bank_declined,5,1,1,10,1,138.0,1
P00248,C02912,502.13,card,HDFC,timeout,5,3,1,120,0,,1
P00249,C01735,617.41,wallet,HDFC,timeout,2,1,1,60,1,65.0,1
P00250,C01844,360.08,upi,Axis,limit_exceeded,3,2,1,10,1,139.0,1
P00251,C00489,368.53,upi,SBI,bank_declined,4,0,1,60,0,,1
P00252,C02977,601.63,upi,Other,bank_declined,5,1,0,0,0,,0
P00253,C01960,1015.54,netbanking,HDFC,bank_declined,5,1,0,0,0,,0
P00254,C01664,584.22,card,HDFC,network_error,8,3,0,0,1,221.0,0
P00255,C02599,483.22,card,Other,insufficient_funds,2,1,0,0,0,,0
P00256,C02386,581.72,upi,SBI,insufficient_funds,4,0,0,0,1,211.0,0
P00257,C02920,140.17,upi,HDFC,limit_exceeded,5,5,1,60,0,,1
P00258,C00641,418.95,upi,Other,network_error,3,2,0,0,1,128.0,0
P00259,C01803,204.45,netbanking,Axis,insufficient_funds,7,3,0,0,0,,0
P00260,C02521,336.41,card,HDFC,network_error,4,0,1,30,1,181.0,1
P00261,C01970,259.72,wallet,Other,network_error,7,1,0,0,0,,0
P00262,C02199,257.26,wallet,ICICI,network_error,5,2,1,30,1,44.0,1
P00263,C01439,247.26,card,HDFC,network_error,2,1,1,10,1,166.0,1
P00264,C01635,2509.25,card,Axis,network_error,5,2,0,0,1,187.0,0
P00265,C00263,473.65,upi,Other,insufficient_funds,0,2,1,120,0,,1
P00266,C01788,1144.91,upi,Other,bank_declined,5,2,0,0,1,123.0,0
P00267,C02192,839.21,upi,HDFC,timeout,4,0,0,0,1,70.0,0
P00268,C02394,797.85,card,ICICI,network_error,3,4,0,0,0,,0
P00269,C00624,721.01,netbanking,Other,limit_exceeded,6,2,0,0,0,,0
P00270,C01017,2122.13,upi,Other,bank_declined,4,3,1,10,1,158.0,1
P00271,C00881,664.65,upi,ICICI,insufficient_funds,4,2,1,30,1,171.0,1
P00272,C02050,141.7,upi,Axis,insufficient_funds,1,0,0,0,1,53.0,0
P00273,C02945,436.18,wallet,HDFC,bank_declined,1,5,0,0,1,98.0,0
P00274,C01328,236.89,upi,HDFC,bank_declined,0,1,1,10,1,52.0,1
P00275,C02302,184.93,card,HDFC,bank_declined,2,2,0,0,1,102.0,0
P00276,C00453,666.58,card,SBI,network_error,5,6,1,10,0,,1
P00277,C01184,115.35,upi,HDFC,bank_declined,3,3,1,10,1,231.0,1
P00278,C02057,531.69,netbanking,ICICI,insufficient_funds,2,0,0,0,0,,0
P00279,C01683,155.51,upi,HDFC,network_error,1,2,1,30,1,231.0,1
P00280,C02864,435.8,upi,Axis,limit_exceeded,3,3,1,120,0,,1
P00281,C02256,848.6,netbanking,SBI,insufficient_funds,4,7,0,0,0,,0
P00282,C01155,311.97,card,ICICI,insufficient_funds,3,1,1,10,0,,1
P00283,C00404,215.33,netbanking,ICICI,network_error,4,0,0,0,0,,0
P00284,C02200,388.23,netbanking,Axis,insufficient_funds,4,3,1,60,0,,1
P00285,C02102,760.14,netbanking,HDFC,bank_declined,6,1,0,0,0,,0
P00286,C01697,609.35,wallet,SBI,limit_exceeded,2,3,1,30,1,235.0,1
P00287,C00628,468.64,card,SBI,timeout,5,0,0,0,1,233.0,0
P00288,C00587,274.33,upi,SBI,timeout,3,1,0,0,0,,0
P00289,C01649,370.6,card,ICICI,insufficient_funds,3,2,0,0,1,232.0,0
P00290,C01444,798.53,card,Axis,bank_declined,2,2,1,120,0,,1
P00291,C01446,448.72,card,ICICI,network_error,5,3,0,0,1,159.0,0
P00292,C00104,583.72,netbanking,HDFC,timeout,3,3,0,0,1,170.0,0
P00293,C00254,382.94,card,Other,network_error,4,1,0,0,0,,0
P00294,C02558,223.38,card,SBI,insufficient_funds,2,0,1,60,1,157.0,1
P00295,C01497,2001.81,upi,SBI,bank_declined,3,3,1,60,0,,1
P00296,C00099,853.13,netbanking,SBI,insufficient_funds,1,3,0,0,1,117.0,0
P00297,C02201,598.31,upi,ICICI,limit_exceeded,5,0,1,10,0,,1
P00298,C01885,439.19,card,SBI,network_error,4,4,0,0,1,83.0,0
P00299,C02962,1332.99,upi,SBI,bank_declined,2,3,1,120,1,147.0,1
P00300,C01920,282.15,card,Other,limit_exceeded,3,1,0,0,1,74.0,0
P00301,C00878,787.5,wallet,Axis,limit_exceeded,3,2,1,60,0,,1
P00302,C00338,505.96,wallet,HDFC,network_error,6,3,0,0,0,,0
P00303,C02870,410.04,card,ICICI,network_error,4,3,1,30,0,,1
P00304,C00957,405.77,upi,HDFC,bank_declined,2,2,1,10,0,,1
P00305,C01705,1229.16,netbanking,Axis,bank_declined,0,2,1,30,0,,1
P00306,C00161,132.97,card,HDFC,network_error,4,4,0,0,1,191.0,0
P00307,C01604,1580.7,upi,ICICI,timeout,5,3,0,0,1,32.0,0
P00308,C02849,1008.95,card,Other,network_error,5,4,0,0,1,208.0,0
P00309,C00398,505.82,card,HDFC,bank_declined,2,4,0,0,1,41.0,0
P00310,C01301,417.4,wallet,Axis,network_error,3,4,0,0,0,,0
P00311,C00816,489.13,upi,ICICI,timeout,4,0,1,30,0,,1
P00312,C01528,691.76,netbanking,Axis,timeout,3,1,0,0,1,68.0,0
P00313,C01920,1169.22,upi,HDFC,bank_declined,3,2,1,60,0,,1
P00314,C01416,691.41,card,ICICI,limit_exceeded,4,3,0,0,1,157.0,0
P00315,C01159,598.59,upi,HDFC,insufficient_funds,9,2,1,30,1,63.0,1
P00316,C01219,501.96,netbanking,SBI,bank_declined,3,2,1,120,1,38.0,1
P00317,C00401,135.61,card,ICICI,limit_exceeded,4,1,0,0,0,,0
P00318,C00640,154.16,card,HDFC,network_error,6,1,0,0,0,,0
P00319,C02736,1064.48,card,ICICI,timeout,4,2,0,0,0,,0
P00320,C00460,685.84,card,Other,insufficient_funds,2,4,0,0,0,,0
P00321,C00955,879.34,card,SBI,network_error,4,1,0,0,0,,0
P00322,C00470,868.11,netbanking,Axis,limit_exceeded,7,1,1,10,0,,1
P00323,C01046,756.84,card,HDFC,insufficient_funds,4,2,0,0,0,,0
P00324,C02798,905.22,netbanking,Axis,bank_declined,2,0,0,0,0,,0
P00325,C01694,270.71,upi,HDFC,bank_declined,4,1,1,60,1,107.0,1
P00326,C02086,732.47,upi,ICICI,bank_declined,1,2,0,0,0,,0
P00327,C02278,676.56,upi,Axis,network_error,2,3,1,30,0,,1
P00328,C00563,1244.02,netbanking,SBI,insufficient_funds,2,2,1,60,1,97.0,1
P00329,C02486,39.11,netbanking,HDFC,network_error,6,0,1,10,1,161.0,1
P00330,C01800,2625.25,upi,Axis,bank_declined,3,0,0,0,0,,0
P00331,C02075,891.81,netbanking,HDFC,network_error,4,3,0,0,1,128.0,0
P00332,C00226,589.56,card,Other,insufficient_funds,2,3,1,10,0,,1
P00333,C00798,252.93,upi,Other,network_error,4,0,1,30,0,,1
P00334,C02332,401.75,upi,Axis,timeout,3,4,0,0,1,57.0,0
P00335,C02927,628.17,card,Other,network_error,2,2,0,0,0,,0
P00336,C00960,1586.51,upi,SBI,timeout,4,4,1,60,0,,1
P00337,C01505,1433.65,upi,Axis,limit_exceeded,7,7,1,120,0,,1
P00338,C00453,759.83,upi,ICICI,limit_exceeded,2,1,1,60,0,,1
P00339,C00816,821.8,card,Axis,limit_exceeded,5,3,1,60,1,163.0,1
P00340,C00659,566.34,upi,ICICI,insufficient_funds,3,2,0,0,1,10.0,0
P00341,C00547,241.98,netbanking,Other,network_error,6,3,0,0,1,122.0,0
P00342,C01216,284.89,upi,Axis,bank_declined,6,2,0,0,0,,0
P00343,C00017,967.99,upi,SBI,timeout,1,3,0,0,0,,0
P00344,C01244,808.09,wallet,Other,timeout,3,1,1,60,0,,1
P00345,C02206,320.07,netbanking,Other,insufficient_funds,5,2,0,0,0,,0
